ZIP	census_county_2010	census_state_2010	STATE	ChildrenHHCount	length_of_residence	children_ind	head_hh_age_code	GE_LATITUDE_2010	GE_LONGITUDE_2010
35657	151	45	CO	1	0	1	K	48.3089962140684	-92.43200829225538
60573	407	23	OK	9	69	0	M	42.990356567933645	-88.02061438122706
29665	393	57	MO	10	36	0	K	41.91101150932997	-105.5994212169116
30131	430	55	IN	11	70	0	L	43.676727874113425	-94.96760285506831
28907	493	41	UT	10	37	0	C	44.6090075770004	-97.85515930458448
16719	483	35	MS	15	43	0	E	33.503048563174346	-93.02010687673533
98951	072	31	NM	5	7	1	L	35.02021967507464	-120.42881510667547
31139	080	57	OR	5	64	1	B	35.14359507392206	-109.38395078615537
85751	353	40	AL	5	33	1	C	43.49259506002886	-106.01909573070344
61085	205	42	OR	12	25	0	B	37.54115130465311	-105.5027013490878
56796	571	33	ID	5	27	1	E	43.41707800027963	-72.57491612735843
96582	476	21	GA	15	23	0	K	43.767994080655626	-96.00559215190972
30688	313	46	AR	7	2	1	L	48.4788835467554	-118.30291181099537
16102	149	24	DC	3	34	1	J	47.15358095520473	-124.06739157013621
54578	137	41	DE	5	17	1	G	40.61911866771519	-84.08204685729231
32608	248	52	CA	10	7	1	D	40.57312205836136	-109.61751717981247
24802	474	44	FL	13	8	0	B	45.47494375980258	-105.77593981657961
62507	481	50	DE	15	64	1	C	47.9214783687805	-115.91593234299174
20323	565	49	PA	9	61	0	G	43.26828087148354	-113.20148247960388
46389	264	36	OR	13	26	0	F	38.207099783755545	-91.10242038645295
30993	512	40	MS	8	4	1	F	30.128426182436204	-100.69209057674595
74614	565	52	IL	4	69	0	J	32.37444031820094	-107.28203630428295
40404	494	26	TX	3	43	0	G	48.34382213568144	-97.80396711912113
46801	578	02	IN	12	25	0	C	43.45233599779725	-118.78149743394293
27485	279	09	ID	12	11	1	E	41.961893301256595	-99.00560306854044
13159	009	16	AR	15	47	0	J	46.05661741321609	-114.85630723641438
70479	250	09	OH	3	57	0	J	42.86557238853496	-89.00117965417836
96094	001	34	MS	0	27	0	F	38.74671508433642	-115.69769360778253
68486	094	11	MO	13	32	1	F	40.821013211599784	-123.11662045989559
43459	386	02	NC	8	54	1	B	35.07222810947813	-103.7370470183137
39389	354	18	NC	0	57	1	L	39.89306683043428	-89.50581708234652
63133	467	49	MT	4	53	1	D	41.00334487802233	-113.55173047714834
40677	437	58	AK	8	31	0	M	45.4142991706153	-94.26804862499407
62833	512	12	WY	3	41	1	C	47.54730780179243	-114.34670910115021
63692	151	37	MO	1	37	0	D	35.76488419413235	-93.2625890935588
61674	535	56	MI	15	20	1	M	33.932572610753965	-98.95075272492005
28150	373	48	VT	2	25	0	B	38.71428228204631	-97.90362641031615
66641	319	05	MN	3	45	1	F	42.08997097203896	-84.71935794616465
67677	117	53	WV	5	4	0	K	39.77792382790608	-76.1322967055597
66607	181	38	MD	12	24	0	G	44.02772353679188	-96.35631447160861
82887	331	40	AL	11	65	0	B	43.00802411938472	-104.04751547659222
40173	545	28	MN	9	8	0	G	33.57621883464653	-85.25664448257143
99702	361	05	MS	8	61	1	C	43.98176726972482	-123.36022966190248
23928	357	45	CT	2	4	0	I	31.475715259087465	-97.01855997615544
50014	128	41	MA	10	37	1	K	40.52349809960762	-120.75100007092013
69362	427	36	WI	4	15	0	K	44.126509444222016	-104.11408802749057
49237	078	33	MI	15	57	1	F	42.33251173835165	-71.52652792265705
62198	210	43	AK	8	26	0	E	44.36387885930097	-93.82650642585386
19658	235	25	MO	7	68	0	J	30.418201441329927	-94.96127898045637
99205	103	43	DE	2	20	1	K	39.78636841452443	-121.53880597181539
38814	082	25	AR	14	14	0	B	46.22934823787294	-87.52718536122742
83843	061	51	VA	5	26	1	H	29.082512024037072	-98.41778080234323
50733	045	04	NJ	10	63	1	H	45.86497940740852	-113.43097465179756
58041	132	37	TX	9	51	0	E	34.776547884780605	-106.00252934648778
44019	391	08	TN	3	44	0	D	45.234517230573076	-120.29990035952376
46844	466	59	OK	10	26	1	F	37.03088558217588	-121.90578740223737
84326	412	09	IA	1	48	1	H	43.664402503770916	-116.75156705601916
56277	534	33	UT	2	62	1	E	45.357925293245465	-122.0875897073414
30415	592	35	VT	9	1	1	K	37.27164398489881	-82.84512502824889
91481	402	44	SC	8	14	1	M	40.73928750701292	-85.28172643313411
73766	218	01	MS	9	38	0	L	38.10475245214907	-100.08331510817811
28920	412	55	NC	11	21	0	L	35.25613300669643	-93.67207678779528
40069	371	44	SC	7	62	1	A	39.74925778770259	-106.16011426293721
95959	133	20	DE	15	43	1	L	40.3949666065989	-91.47554802143412
83466	571	15	AL	15	13	0	C	44.19629334815595	-99.64718115780136
93497	323	59	NY	14	3	0	M	43.27596943161896	-114.9166525525518
62760	520	56	ID	14	70	1	E	30.857044324854865	-85.51720769933132
68996	351	20	MN	12	2	1	A	37.69681338306417	-97.93361639950969
27951	519	55	NE	4	16	1	L	44.229720359702796	-105.9236954378178
60510	274	54	MN	10	68	1	A	43.020183921073325	-123.21671592022216
70097	564	16	HI	10	39	0	J	38.21085479622596	-100.0729399977665
34413	320	58	MD	0	20	0	J	33.53452284285578	-110.96847038153047
63012	484	53	PA	12	22	0	A	39.59848348074402	-110.20893498016015
78307	166	41	OR	4	14	0	B	31.17795955756221	-96.61575618746481
89257	528	04	OK	1	9	0	M	44.00034112283862	-114.77551193974571
13716	229	10	IL	6	65	1	M	33.668348414046534	-91.58383035732335
65122	076	35	UT	1	13	1	C	48.376894675610934	-93.79227528770788
61516	079	08	SD	2	53	0	F	48.116677953284096	-108.02465813128958
87867	503	07	MN	9	27	0	G	37.01370175857307	-119.37766718586798
35627	359	16	NV	12	40	1	F	33.98864514907947	-97.94332965620676
67920	006	57	MA	15	55	0	H	36.01174698704834	-87.30507700971054
14703	461	28	TX	15	67	0	A	32.10134733568762	-95.69040303197262
22505	280	34	ND	9	68	1	C	42.86213760524774	-94.8339658964583
87823	154	59	MO	2	17	1	J	42.5383153526561	-119.02554174377926
40552	557	46	OH	12	68	1	B	39.36408463250912	-115.8284556037716
81074	522	38	AK	1	9	0	D	42.88885979043399	-111.10917781148228
71069	274	54	PA	0	30	0	I	42.85316551787413	-83.74472426841663
11632	395	34	IN	8	14	1	A	40.892815851150665	-85.63290514419938
70067	324	48	MS	9	15	1	G	31.964498056265114	-83.37834174199621
53621	258	01	CO	7	26	1	I	47.5905011577307	-98.91500114336709
23268	375	51	AR	8	13	0	C	34.36831380497668	-99.59673151009353
13916	453	01	NC	14	6	1	I	27.216167317174957	-98.56392294502147
80102	281	41	SD	9	11	1	I	45.219146989686465	-114.64371664027675
38500	533	13	VA	6	48	1	B	45.180378981547015	-94.2384740104872
88283	487	19	MT	14	38	0	A	38.451221218955496	-103.78563084298992
74505	276	50	HI	7	12	1	I	30.336541668424765	-92.68065992753948
36200	509	59	OR	1	39	1	I	38.662147824567526	-82.88704885493706
67214	169	52	PA	2	44	0	A	27.233139658577578	-80.68360181949933
69852	225	13	MA	5	54	0	G	33.362334434280314	-97.24464726297437
39859	177	56	CA	2	43	1	I	46.88066328641336	-88.58827600540499
57689	538	40	KS	10	34	1	C	35.411071013021456	-85.96587060952669
63249	522	33	AZ	11	12	1	M	36.63384377708655	-120.75675297583805
81498	263	05	ME	9	30	1	G	34.00046101442543	-111.95951530916207
31250	081	57	VA	14	10	0	C	39.38368101934308	-78.1774264423895
21558	075	38	IA	8	27	1	J	37.407789321409304	-117.30402054974462
89282	550	50	MN	6	50	0	D	33.46498698652387	-89.81765091696684
75467	575	58	NV	10	67	0	A	38.15904388310294	-94.73684233975453
97654	018	25	NC	13	14	0	A	33.90038951885563	-90.24564746476858
93292	347	47	WA	5	47	1	A	41.19800184875977	-75.26896873137449
80817	390	41	MD	12	55	0	F	30.394461791944977	-103.75560190824916
49607	292	12	KY	14	18	1	H	33.28171861480102	-95.81671428603985
73806	288	11	OR	6	44	1	B	39.57948978770387	-97.82065194400566
46575	515	54	ME	4	15	1	G	36.04974359630818	-112.33432777267144
88780	352	48	IN	3	32	0	A	33.179125576189136	-88.77245221351194
59714	081	35	OK	4	17	1	E	37.27183650779969	-107.23496218731214
77228	452	50	OR	9	19	0	C	42.41606895119996	-89.75095579168413
45298	442	08	HI	4	26	1	G	32.82105337756784	-100.60885722129166
13528	064	47	NY	8	0	1	C	48.994375346458526	-103.6352132734793
52480	170	47	WV	12	9	1	M	46.380492888503625	-115.56145251352835
61816	398	40	OR	9	5	0	F	36.23444186185323	-116.70577109862477
11962	555	29	IN	11	24	0	D	45.66353380182226	-119.23706063802027
45179	062	40	GA	4	3	1	L	43.21223411628239	-83.58706987692983
55658	090	25	NH	1	64	0	F	48.398623052713596	-94.2957818238681
87161	021	02	WY	15	32	1	C	44.038677154762254	-93.23756335620013
81986	200	11	GA	13	6	0	M	37.375948822643196	-92.54720555203676
20438	341	26	NJ	8	36	0	F	36.729260732468056	-98.05250819193259
18651	562	53	VT	2	12	1	G	40.34134425371372	-75.39679022905645
27038	342	41	OK	9	47	0	F	39.35365496003897	-116.42426935382244
51165	184	13	AK	15	12	0	A	47.67461574159864	-95.79257553660877
25181	166	43	GA	9	39	0	A	45.47518216587223	-95.19546903723237
85132	574	14	WV	11	22	1	E	29.18903928063317	-96.48794505548821
22817	244	17	NV	5	62	1	K	48.97473527337952	-111.9530655556567
63380	142	20	IN	0	69	0	H	44.276583553134365	-102.6959242799209
51215	202	06	WI	14	0	1	H	32.96571821731457	-87.45447541700716
33406	287	50	CA	6	14	0	J	27.983832782199684	-81.86622686631176
38354	245	37	MN	0	52	1	D	44.957691774099146	-95.4187238123911
34800	401	19	RI	15	36	1	D	40.761176030385194	-111.26577186730344
70481	196	06	NH	14	29	0	M	41.18211059347617	-108.3228830387811
24033	345	49	UT	4	11	0	J	38.68515005289216	-91.58938985034109
30751	527	50	UT	1	18	1	I	30.090458532561307	-81.74952544533537
16284	214	44	MD	4	67	1	I	40.24408802383899	-76.71553451897313
93134	569	28	DE	3	64	0	L	40.351638292716835	-90.50714818910063
70447	160	06	DE	5	57	1	J	40.2492251622406	-116.12382611448675
36969	264	25	CA	1	2	0	I	45.55566232362704	-117.64405996412049
71885	529	47	OH	15	9	0	J	41.56496649692705	-113.58210450503795
78332	344	54	AR	14	68	0	F	37.1055276039346	-111.65430873475904
43055	137	28	UT	1	14	0	I	32.33723158707212	-83.265143712199
53243	449	43	NH	3	67	1	F	33.73964520479491	-109.36239359923297
41344	499	52	ME	4	50	0	M	48.85836047592146	-116.05345536681656
29494	058	18	AR	0	60	0	M	40.33035566908528	-112.96634915283978
64445	079	21	WY	15	51	0	B	40.858023048699856	-98.93773516066061
46907	334	22	AR	1	21	1	I	41.6611019809486	-120.37219898426206
73834	323	51	OH	14	55	1	E	45.35260816198294	-97.16991416455679
16731	583	29	SC	11	58	1	C	36.39532341949064	-108.38855330580097
74362	126	00	NC	3	70	1	E	40.292444165438724	-90.24950126877116
70175	410	29	OR	8	3	1	J	30.043523443209075	-98.51060077810526
83422	375	34	NY	15	14	0	B	42.380753414700436	-123.66185748667331
93881	226	35	WA	4	14	0	J	39.15429830059368	-116.32939412755466
39982	515	02	MN	0	55	0	J	36.927651966271114	-82.32978921977065
52809	043	54	MI	15	32	1	G	47.09306627893177	-106.59352356979741
95131	356	57	DC	8	14	0	I	34.54518355166214	-100.36834716974542
50071	330	14	MN	12	40	1	G	31.748610251130927	-95.99195569389447
29670	090	05	VT	2	7	1	F	28.778193162055373	-95.5956026422841
86866	054	47	SD	15	35	0	A	30.836480321388017	-97.67488248403717
19276	315	36	NE	1	5	0	E	46.603107583952536	-101.5899476351943
84281	085	57	VT	13	11	1	F	30.663535958915645	-101.10541295292464
40762	324	09	UT	6	37	0	B	39.91447492370364	-114.77711972904618
96138	257	02	NV	11	63	1	K	30.736587048821363	-99.96435688938058
46772	359	53	VA	7	42	0	M	42.422791099839806	-109.22734404893339
13916	295	35	AK	4	22	1	B	33.85359309488088	-112.71553975724945
35461	542	40	MI	14	64	0	K	37.30740043263403	-102.64535827292936
83029	035	51	ND	4	5	1	C	45.630596800713235	-84.78374262779393
27590	257	37	NE	2	51	1	B	48.01167193937759	-102.90049183379344
60458	412	16	NE	11	33	1	F	35.86813266163057	-84.28506912007998
27235	034	48	MT	0	46	1	J	42.74494043645581	-122.8596464895808
33917	133	26	WI	11	18	1	B	41.693392473506066	-89.29704060200069
15429	471	10	MI	0	53	1	J	44.271327421594606	-116.21728384439508
16674	385	57	ND	12	23	1	B	44.14235044704276	-113.76854748282601
77935	374	54	MN	15	62	1	A	32.6561951329295	-106.4194802047858
94675	173	35	VT	13	11	0	K	36.493502815025934	-81.39309304435855
64606	085	32	TN	1	34	0	J	41.917005869385505	-95.3726026041893
19101	563	02	FL	2	37	0	I	44.791877772562344	-94.59191030346524
19731	288	56	AZ	5	46	0	K	46.808349734394504	-86.8220597234831
41941	139	12	NJ	14	19	1	I	38.89359267438893	-95.29851768993706
37139	519	32	MO	15	46	1	F	41.17547822959535	-78.49134908206312
23011	347	12	AK	1	28	0	A	45.08504888702166	-97.44907579074194
93143	134	04	NH	0	65	1	D	42.36833258434727	-76.77556918404716
96192	277	16	OH	15	25	0	M	45.10133824231454	-96.1471148720967
75359	032	24	MN	10	1	1	I	33.32179355425002	-80.5847509358206
83499	314	45	HI	1	50	0	L	38.44900818572652	-106.19040801970996
24540	082	28	AL	4	21	1	D	32.93346955302184	-105.89934048866905
18213	232	36	KY	4	17	0	E	37.30972222985871	-101.32764344198944
51487	126	06	MS	12	25	1	M	44.18438108297596	-93.72352619237387
81391	425	21	MI	11	66	0	E	36.31655117925068	-79.33029763429406
18390	386	18	HI	14	12	0	I	46.79349122487936	-105.50725136166416
35018	010	13	ND	10	22	1	G	44.0246953363822	-117.14305854593387
15872	165	50	OK	5	66	0	D	36.33293123238754	-87.27721026981234
49576	564	30	AZ	1	69	0	C	38.95528433066772	-99.13235934330274
18669	172	40	MS	8	60	1	K	40.40315575468583	-111.0910294506138
34312	168	11	MA	3	41	1	E	46.696976505329935	-118.3536252955064
94140	367	08	OR	4	9	0	C	35.64344000770088	-105.68909947616659
48451	406	08	NE	10	51	0	I	31.77844607158768	-96.7940462649807
25976	496	59	NV	6	27	1	E	48.80131755514641	-95.05259291448135
61012	536	10	SC	13	14	0	K	41.7825064606635	-119.13441832217521
99564	565	48	MO	13	67	1	C	46.63618746921829	-107.2823329826366
74411	395	42	MA	9	11	0	B	46.43538581593507	-117.44212255106865
44050	507	37	MI	14	20	0	J	42.52981486232903	-87.02198257352572
16149	378	46	FL	1	39	1	I	42.9117241433813	-93.05974511436611
48937	501	06	AL	7	51	1	H	45.50930975764723	-91.24198257655438
15844	211	02	IL	3	65	1	C	41.45536774062748	-88.66425274707532
48471	526	01	HI	9	7	0	M	29.559715506317485	-103.97184600491174
25850	194	50	KS	7	3	0	I	41.628399744786094	-112.67708375163605
12255	203	13	FL	4	23	0	M	42.323834257882496	-114.09659210997673
95046	204	22	PA	15	47	1	C	31.63074445204436	-101.34085409004813
26756	435	55	IA	7	66	0	G	43.83262784565797	-123.57994189937176
46053	011	13	SC	9	5	1	C	47.589449284677244	-98.81715033765639
88467	189	54	IA	4	63	0	B	31.485424341650646	-86.32958452187293
46466	121	08	ID	14	25	0	G	39.512719635266805	-108.57132910455499
41871	378	45	MO	4	12	0	I	47.74013356935274	-104.94758449741659
98009	328	21	MI	6	1	0	F	48.615475830601305	-120.34650076462043
41062	202	53	IL	0	34	1	L	44.86822719954542	-72.7782376966058
12924	578	01	IA	0	4	1	M	40.7789566657798	-102.99022060307624
46681	338	18	PA	9	61	0	D	30.885561333589273	-104.35111691207993
80301	349	55	MA	3	0	0	A	37.26811818231658	-80.09606961643746
55238	071	32	TN	8	61	0	E	32.02585650213101	-95.07439735384871
69128	110	39	WV	4	0	0	A	45.55368919133831	-96.78555684837112
93687	016	43	NV	15	43	0	C	45.331164084872775	-91.29010030489417
80930	548	43	AK	14	8	0	A	42.10603061350471	-113.53217076074966
82589	138	38	OH	1	24	1	D	37.2245149671756	-95.17439800651488
85585	590	24	AK	7	52	1	G	44.20754548862209	-91.78267369343106
40785	453	56	MN	1	0	1	C	45.579559250807634	-105.091666346447
37328	238	02	VT	5	26	0	C	48.421785152085064	-110.52031812525092
34799	204	52	NY	15	40	1	J	34.23882837492243	-92.54198031718408
30030	310	27	MI	15	66	1	G	45.08786107510683	-116.66552029687307
38265	589	28	KS	10	51	1	M	37.91208330639871	-109.8945523384103
30791	373	32	CT	7	22	0	J	38.31390565924375	-97.12817411101791
80156	023	14	NY	13	4	1	B	39.82354230978201	-106.72689297969222
27421	422	39	WA	8	32	0	L	40.51996147517757	-109.7348119778815
68874	300	42	DE	13	8	1	J	48.51619953181819	-108.27885997966617
67110	408	49	NE	12	56	1	F	42.228978864496376	-116.93721248990008
37455	567	35	MA	15	25	0	K	39.38204751450028	-117.94708039402082
33590	488	18	DC	14	54	1	A	42.36657324218327	-120.1580622707197
24969	561	03	NE	0	50	1	I	44.14261587006511	-120.97472688822815
86554	473	23	TX	7	28	0	J	41.796396309352914	-112.27741315785812
82009	318	51	CA	4	28	1	H	36.794313783707615	-95.65887276630816
31044	362	39	MA	0	0	1	E	41.01971335584371	-79.20050292669995
88198	319	08	OR	14	55	0	H	48.097843269835934	-88.71888566602358
98594	444	22	NY	14	69	0	G	47.29138627006941	-98.92589192419302
68447	052	56	LA	4	30	0	H	42.019183962981614	-109.56849839658176
36687	388	45	NM	7	1	0	E	38.14136847873745	-116.10804550735277
42318	045	30	WA	6	7	1	J	46.44736822068772	-114.58881721768536
96767	149	44	OK	14	43	0	D	44.72433423396565	-109.7372181629093
71919	216	17	DE	2	65	0	L	41.77232274731535	-107.9635081735535
57974	455	56	AK	0	45	0	B	41.133394822543664	-108.6904498676039
65938	446	16	IA	11	46	0	J	47.97587918051325	-100.32557777848983
87982	551	21	UT	0	25	1	B	47.27196738453553	-108.66917550444654
55777	579	53	KS	7	52	0	D	46.50665788674587	-103.06682482897536
31808	355	32	FL	10	43	1	E	34.518379635945614	-88.67177347040513
14002	085	03	AL	4	16	1	D	39.2035445123048	-89.7230042023047
50775	452	45	VT	9	35	0	H	35.16853258798847	-93.88206773603433
92480	362	28	NV	12	63	0	L	34.345638121356394	-81.32338850745958
57014	430	33	WA	7	38	1	H	34.07591984395458	-91.38360871938448
24658	389	16	MT	9	32	0	A	31.73725702503558	-94.87767163424967
39137	134	44	NM	13	63	0	A	35.50788540202193	-79.40933146921489
51044	375	06	WY	9	40	1	D	29.08639193642798	-99.27811739378961
41945	412	11	IL	13	43	0	F	33.35129504317584	-79.17935717415256
90234	483	24	MS	4	59	0	E	38.3484106967868	-108.8708289805175
94635	057	02	OK	14	54	0	K	34.94063042907981	-96.1808745778915
26310	537	00	NE	9	57	1	M	40.096278378780355	-93.03912687394005
75426	120	48	VT	2	58	0	H	39.12029133400852	-107.64094250021901
54475	042	32	WY	1	16	0	H	47.30178256341715	-92.16778947430944
85281	259	34	HI	2	28	1	L	29.65714563727722	-90.29128596586241
88134	444	38	KS	10	63	0	H	48.71875434967883	-116.70313484848452
10160	495	21	MS	11	61	1	M	38.80307617875788	-123.29107094728722
13681	514	19	SD	12	63	1	B	34.52724748224865	-94.15732463966944
32675	242	14	NV	13	54	1	C	38.30862197841503	-90.31744325415704
59511	457	12	WI	3	10	1	H	41.95777650380522	-122.1280302655693
12132	248	28	TN	10	69	1	A	32.59020971476018	-99.0102332176193
52198	420	42	MS	5	47	0	J	41.89268860934331	-87.58339674402353
99807	350	48	TN	9	0	0	K	37.86101352234314	-78.21266152124926
40008	083	44	NJ	0	65	1	M	44.29207220360438	-122.67200693699017
25689	532	42	ME	5	61	0	I	39.88528362746578	-74.92741221042435
36294	357	45	KY	13	3	1	B	35.50613726521841	-94.82224238775714
34900	365	24	MA	15	14	0	G	33.38961259528189	-109.65165357928694
53726	033	21	WY	15	62	1	B	35.88833866624614	-115.68517599037187
64554	435	19	MO	5	6	0	F	38.322356668464096	-92.04021045478203
30328	115	43	PA	2	23	0	H	44.926710006656634	-111.99912531869097
25752	212	43	NC	5	5	0	H	40.332844821394566	-91.69918112453425
85133	367	52	MI	6	42	0	B	47.137148074367744	-107.34296405903771
99685	128	22	WV	11	16	0	L	42.95186725217239	-88.21531035154251
10525	158	46	OK	8	64	1	A	40.10302723911481	-92.73622830790273
38707	274	43	TN	1	60	1	K	40.79757243339546	-82.88110786198274
11401	023	44	IN	12	5	1	C	37.35165813520972	-104.80300962055831
39608	005	56	MI	3	17	1	B	32.467656170962606	-95.22304506653346
59928	524	24	NJ	0	38	1	G	38.49530221499079	-100.7648356488021
77002	187	11	GA	13	55	1	M	33.522550763526226	-84.08936913526955
59655	544	17	ID	1	12	0	F	38.55376816108786	-78.84558179228691
93368	034	38	HI	6	18	1	C	46.015149729592764	-84.53522321943836
14495	265	35	KS	15	8	1	F	39.509793647960734	-115.5496699460957
40570	574	54	SC	5	19	0	D	31.739335815130982	-102.59912798573474
19154	124	38	VA	1	7	1	L	30.381335361247523	-97.69497932306061
15111	006	22	IA	2	20	0	A	38.69903368291409	-89.09032074523333
74271	108	14	CA	7	68	1	K	37.35062045247915	-91.21064656592739
28303	292	30	MI	1	18	1	F	38.99134483131566	-89.51391193981019
71493	418	53	WA	15	32	1	F	41.1381727560451	-88.00174461336417
74051	136	34	TN	4	31	0	D	47.631226947236634	-109.25756432084977
81100	506	53	MI	2	14	1	M	47.23521077139492	-105.14741429728338
54372	498	46	ME	9	62	1	M	45.52340160279372	-120.56146436285022
73814	543	25	KS	1	47	0	L	47.10498617411012	-114.0986975319087
23403	462	17	OR	10	65	0	H	41.86238063223045	-117.76163643887823
71816	517	04	WA	6	60	1	I	40.35305410015654	-87.57632786931923
